lat,lon,count,RUA
-7.2091422,-35.9363779,1,RUA SANTA TEREZINHA
-7.2510877,-35.9112383,2,RUA SENADOR JOÃO CAVALCANTE DE ARRUDA
-7.2219207,-35.9216233,4,RUA FLORIPEDES COUTINHO
-7.2223667,-35.8734667,2,RUA PROFESSORA JOANA DARC FERREIRA DE ARRUDA
-7.2316367,-35.9229146,1,RUA JOSE ZACARIAS COSTA
-7.2175764,-35.8716472,4,RUA SANTO ANTONIO 
-7.2383857,-35.8860420,4,RUA VINTE E QUATRO DE MAIO 
-7.2144979,-35.9016135,1,RUA NATANAEL BELO 
-7.2496734,-35.8736797,1,RUA DOUTOR PAULO RAMOS FIGUEIREDO 
-7.2439938,-35.9012720,1,RUA JOSÉ GONÇALVES LUCENA 
-7.2496543,-35.9119310,1,RUA FRANCISCO BRASILEIRO 
-7.2223667,-35.8734667,2,RUA PIRAMIDAL
-7.2174881,-35.8642014,1,RUA LEONTINA TAVARES
-7.2254436,-35.9019078,1,RUA TABERNACULO
-7.2358406,-35.9049719,1,RUA RODRIGUES DE FARIAS
-7.2161225,-35.8725912,1,RUA ARRUDA CAMARA 
-7.2223667,-35.8734667,1,RUA MARECHAL CANDIDO RONDON
-7.2302724,-35.8665364,1,RUA JOSÉ VIEIRA DE LIMA 
-7.2297637,-35.9258706,2,AVENIDA PLINIO LEMOS
-7.2315441,-35.9224193,1,RUA PROFESSORA MARIA AUGUSTA MENDONÇA
-7.2256524,-35.8893318,1,RUA JOSE DO PATROCINIO 
-7.2223667,-35.8734667,2,RUA ODON SEVERIANO DE SOUZA
-7.2180225,-35.9016593,1,RUA CAPITÃO JOÃO DE LIRA
-7.2112139,-35.9014601,3,RUA ANTONIETA CAVALCANTE 
-7.2579169,-35.8973755,1,RUA JOSE ALVES
-7.2564180,-35.9065424,1,RUA ANTONIO PEREIRA FRUTUOSO 
-7.2436279,-35.8790807,1,RUA MANOEL DE BARROS
-7.2339942,-35.9105869,2,RUA DINAMÉRICA ALVES CORREIA
-7.2223667,-35.8734667,1,RUA MANUEL RAIMUNDO DE SOUSA
-7.2223667,-35.8734667,1,AVENIDA ALÇA SUDOESTE
-7.2049197,-35.9192722,1,RUA EMILIANO ROSENDO DA SILVA
-7.2091422,-35.9363779,2,RUA SANTA TEREZINHA
-7.2264095,-35.9222325,1,RUA JOAQUIM AMORIM JÚNIOR
-7.2505233,-35.8842511,1,RUA PROFESSOR EMÍLIO ARAÚJO CHAVES
-7.2223667,-35.8734667,1,RUA MARIA ANDRADE DO NASCIMENTO
-7.2477834,-35.8833218,1,RUA AROLDO DO NASCIMENTO CABRAL
-7.1990918,-35.8822681,2,RUA EZEQUIEL RODRIGUES 
-7.2525188,-35.9004089,1,RUA ANTONIO FIGUEIREDO AGRA 
-7.2223667,-35.8734667,1,RUA HERMENGARDA CÂMARA FILGUEIRAS DAMORIM
-7.2217283,-35.9163941,1,RUA APRÍGIO VELOSO
-7.2100268,-35.8945235,1,RUA ANA DE AZEVEDO 
-7.2223667,-35.8734667,1,RUA WILSON CESAR DE SOUZA 
-7.2223667,-35.8734667,1,RUA OLEGÁRIO AZEVEDO 
-7.2175764,-35.8716472,18,RUA SANTO ANTONIO
-7.2221776,-35.9102052,2,RUA SÃO VICENTE
-7.2223667,-35.8734667,1,RUA INSPETOR PEDRO CORREIA
-7.2111244,-35.8866017,1,RUA SEVERINA MARIA DA CONCEIÇÃO 
-7.2324716,-35.8918351,5,RUA RIO DE JANEIRO
-7.2210328,-35.9207898,1,RUA DAMIAO JOSE RODRIGUES 
-7.2134607,-35.8856391,1,RUA DOMINGOS SARMENTO 
-7.2543078,-35.9106384,1,RUA MARIA DAS MECES RODRIGUES
-7.2027714,-35.8825859,1,RUA MANOEL ELIAS DE CASTRO 
-7.2737205,-35.9318405,1,TRAVESSA GOIANA 
-7.2511199,-35.9035761,1,RUA ABSALÃO EMERENCIANO 
-7.2223667,-35.8734667,1,RUA ARTHUR FREIRE DE FIGUEIREDO
-7.2183894,-35.8847321,1,RUA CARDOSO VIEIRA
-7.2230627,-35.9200239,3,RUA DOUTOR SEVERINO RIBEIRO CRUZ
-7.2699120,-35.8971647,2,AV BRASILIA
-7.2317842,-35.8785139,1,RUA CUREMAS
-7.2196143,-35.8680883,4,RUA MAMEDE MOISES RAIA
-7.2385524,-35.8926909,1,RUA PADRE PEDRO SERRÃO
-7.2522253,-35.9262338,1,RUA MOUSART DE LIMA
-7.2223667,-35.8734667,1,RUA DO GLORIA
-7.2191979,-35.8633450,1,RUA ZUMBA MONTEIRO
-7.2111244,-35.8866017,1,RUA JOSEFA BENVINDO DA CONCEIÇÃO
-7.2297637,-35.9258706,1,RUA PLINIO LEMOS
-7.2153612,-35.8729548,2,RUA SANTA CECILIA
-7.2202454,-35.8941189,3,RUA ANTENOR NAVARRO
-7.2275983,-35.8770020,2,AV ELPIDIO DE ALMEIDA
-7.2234655,-35.8726491,1,RUA ESTACIO DE SA 
-7.2435010,-35.8954198,2,AVENIDA APRIGIO NEPOMUCENO
-7.2349973,-35.9297365,1,RUA SOUZA
-7.2230627,-35.9200239,1,RUA SEVERINO LUCENA VAZ RIBEIRO
-7.2509144,-35.8382862,1,RUA JOSÉ RODRIGUES DE LIMA 
-7.2181600,-35.8845104,1,RUA VENANCIO NEIVA 
-7.2333814,-35.8992664,1,RUA ANACLETO ELOI
-7.2223667,-35.8734667,1,RUA MANOEL CAMILO DOS SANTOS
-7.2465473,-35.8947422,1,RUA CASSIANO PEREIRA
-7.2292954,-35.9048650,1,AVENIDA PROFESSOR ALMEIDA BARRETO
-7.2355900,-35.9312681,1,RUA MARIA DA MUNIS DE ALBUQUERQUE
-7.2223667,-35.8734667,1,RUA ORDENES TROVAO DE MELO
-7.2496543,-35.9119310,1,RUA FRANCISCO BRASILEIRO
-7.2397171,-35.9260127,1,RUA CARLOS ANTONIO VIEIRA 
-7.2254439,-35.8682139,1,RUA PEDRO DA COSTA AGRA
-7.2322289,-35.9054324,1,RUA PERU
-7.2130820,-35.9021875,2,RUA FRANCISCO CALIXTO
-7.2223667,-35.8734667,1,RUA JILO GUEDES
-7.2223667,-35.8734667,1,RUA ZOÉ BRITO SILVA 
-7.2194005,-35.8666529,1,RUA MATO GROSSO
-7.2294646,-35.9110185,9,RUA ALMEIDA BARRETO
-7.2447102,-35.9080866,1,RUA ANTONIO JOAQUIM DE CARVALHO 
-7.2186352,-35.8850358,4,RUA MARQUES DO HERVAL
-7.2053344,-35.8890700,1,RUA HENRIQUE DIAS 
-7.2049314,-35.9503141,1,RUA MANOEL MOTA
-7.2229412,-35.9068041,2,RUA SANTA LUZIA
-7.2146094,-35.8733014,25,AV FLORIANO PEIXOTO
-7.2758268,-35.9246835,1,RUA CLAUDIO DA COSTA BARROSO 
-7.2223667,-35.8734667,2,RUA PLÍNIO LÚCIO SOUTO LIMA
-7.2365463,-35.9028056,2,RUA COSTA E SILVA
-7.2449416,-35.8926445,1,RUA PEDRO OTAVIO DE FARIAS 
-7.2037459,-35.8853294,1,RUA ADAUTO TRAVASSOS DE MOURA 
-7.2067937,-35.8919738,1,RUA FRANCISCO MENDONÇA
-7.2125343,-35.8780211,1,RUA LUIZA SOARES
-7.2183894,-35.8847321,1,RUA CARDOSO VIEIRA 
-7.2223667,-35.8734667,2,RUA NILDA DE QUEIROZ NEVES 
-7.2316765,-35.8714851,1,RUA RAIMUNDO NONATO DE ARAÚJO
-7.2223667,-35.8734667,1,RUA FERNANDES DE NORONHA
-7.2103599,-35.8804242,1,RUA MONTEIRO LOBATO
-7.2509440,-35.8860939,1,RUA MANUEL ALVES DE OLIVEIRA 
-7.2412275,-35.9041761,1,RUA ALFREDO ALVES ARAÚJO
-7.1884014,-35.8813203,2,AVENIDA DAS NACOES
-7.2223667,-35.8734667,1,RUA PROFESSOR LOPES DE ANDRADE
-7.2350128,-35.9090620,3,RUA MANOEL PORTO 
-7.2194322,-35.8786116,1,RUA CRISTOVAO COLOMBO 
-7.2433790,-35.8841384,2,RODOVIA BR 104
-7.2302724,-35.8665364,1,RUA JOSE VIEIRA DE LIMA
-7.2402589,-35.8768156,1,RUA GILENO B DO NASCIMENTO 
-7.2410812,-35.8880520,5,AV ASSIS CHATEAUBRIAND
-7.2444422,-35.8884102,1,RUA PREFEITO ANTONIO COUTINHO 
-7.2355900,-35.9312681,1,RUA MARIA DA GUIA 
-7.2281990,-35.9189281,2,RUA FREIRA FRANCISCA GUSMAO 
-7.2425128,-35.9138517,1,RUA CARMEM LÚCIA COSTA PAULINO
-7.2337762,-35.9257241,2,RUA MOSSORO
-7.2193398,-35.8816382,3,RUA AFONSO CAMPOS
-7.2223667,-35.8734667,1,RUA ENGENHEIRO JOSE HEMERSON DE ALMEIDA BARRETO 
-7.2059804,-35.8962939,1,RUA PROBO CAMARA 
-7.2439938,-35.9012720,1,RUA JOSE GONCALVES LUCENA 
-7.2223667,-35.8734667,1,PRACA TENENTE ALFREDO DANTAS
-7.2436954,-35.9148714,1,RUA ALICE OLIVEIRA GONZAGA
-7.2521369,-35.9088201,1,RUA JOSEFA RAMOS BORBÃO
-7.2429264,-35.9186067,1,RUA JOÃO HENRIQUE PEREIRA LEITE 
-7.2354700,-35.8962185,16,AVENIDA ALMIRANTE BARROSO
-7.2094570,-35.8998199,1,RUA TOMAS DE ARAUJO
-7.2210903,-35.8787309,19,RUA VILA NOVA DA RAINHA
-7.2358406,-35.9049719,1,RUA RODRIGUES DE FARIAS 
-7.2157729,-35.8698447,1,RUA NEUSA BORBOREMA
-7.2331445,-35.9047539,3,RUA DO SOL
-7.1990918,-35.8822681,1,RUA EZEQUIEL RODRIGUEZ
-7.2563153,-35.8787877,17,AVENIDA VIGARIO CALIXTO
-7.2223667,-35.8734667,1,RUA GLAUBER ALVES GUIMARÃES 
-7.2223667,-35.8734667,1,RUA DA FARINHADA
-7.2217437,-35.9179453,1,RUA MANOEL GUIMARAES MORAIS 
-7.2309417,-35.8680489,1,RUA JUVINO DO O
-7.2563153,-35.8787877,6,AVENIDA VIGÁRIO CALIXTO
-7.2452594,-35.8955600,1,RUA JUVINO SOBREIRA
-7.2724845,-35.9301027,1,RUA ARATUBA
-7.2342495,-35.8586875,5,RUA FERNANDES VIEIRA
-7.2241471,-35.8885111,1,RUA PAULINO RAPOSO
-7.2181796,-35.8786288,2,RUA DEPUTADO JOSE TAVARES 
-7.2223667,-35.8734667,1,RUA MARIA DO CARMO NOBREGA
-7.2098989,-35.8926755,1,RUA DESEMBARGADOR AZEVEDO 
-7.2158611,-35.8698329,1,RUA MANOEL DAVID DE ARRUDA
-7.2433129,-35.9233968,1,RUA JAMILA ABRAO JORGE 
-7.1874130,-35.9042682,2,RUA BRUXELAS
-7.2275107,-35.9012895,1,RUA FRANCISCO LOPES 
-7.2333530,-35.8723260,2,RUA ANTONIO DE SOUSA LOPES 
-7.2272312,-35.9188297,1,RUA CORONEL JOÃO FIGUEIREDO
-7.2209789,-35.8871979,1,AVENIDA DOM PEDRO I
-7.2212286,-35.9060455,1,RUA SÃO GERALDO
-7.2297810,-35.8691086,1,RUA PROFESSOR MIRON
-7.2148680,-35.8888711,1,RUA JOAO DA SILVA PIMENTEL 
-7.2223667,-35.8734667,1,RUA SAARA
-7.2533384,-35.8945744,1,RUA JOSE FIRMINO
-7.2223667,-35.8734667,1,RUA JOÃO EDSON SOUZA
-7.2362438,-35.8635495,1,RUA ENGENHEIRO JOSÉ BEZERRA 
-7.2486543,-35.9109366,1,RUA RAUL FARIAS 
-7.2338966,-35.8729918,7,RUA OTACILIO NEPOMUCENO 
-7.2146732,-35.8879037,1,RUA PRESIDENTE EPITACIO PESSOA
-7.2192419,-35.8699405,1,RUA SEVERINO DE BRANCO
-7.2085383,-35.8769662,1,RUA FELIX CAROLINO BARBOSA 
-7.2410812,-35.8880520,25,AVENIDA ASSIS CHATEAUBRIAND
-7.2391003,-35.9269590,1,RUA DAS PITOMBEIRAS
-7.2556036,-35.9248992,1,RUA HENRIQUE NÓBREGA 
-7.2415243,-35.8923018,1,TRAVESSA EDESIO SILVA
-7.2506392,-35.8957545,1,RUA JOANA DE ALBUQUERQUE SILVEIRA 
-7.2223667,-35.8734667,1,RUA PAULO GOMES PERICO
-7.2256524,-35.8893318,1,RUA JOSE DO PATROCINIO
-7.2086011,-35.8870209,1,TRAVESSA AFONSO FRANCISCO DE ALBUQUERQUE
-7.2048921,-35.9339515,1,RUA SAO JANUARIO
-7.2246450,-35.9186757,1,RUA MAESTRO NILO LIMA
-7.2223667,-35.8734667,2,RUA NATALICIA R. VIEIRA 
-7.1871624,-35.9035978,1,RUA ARLINDA GOMES DE MEDEIROS 
-7.2223667,-35.8734667,1,RUA IREMAR VILARIM MEIRA
-7.1980327,-35.8902562,1,RUA ROBERVAL RIBEIRO DE LIMA
-7.1986848,-35.8959945,7,RUA QUINZE DE NOVEMBRO 
-7.2212571,-35.9028520,2,RUA MARECHAL DEODORO
-7.2227523,-35.8646399,1,RUA MIRIAM ALVES DE MELO
-7.2511199,-35.9035761,1,RUA ABSALAO EMERENCIANO 
-7.2189529,-35.9244108,1,RUA AUREA DO REGO DA COSTA
-7.2593207,-35.9099166,1,RUA DA CONCEICAO
-7.2276220,-35.9338638,2,RUA SEVERINO ERMÍNIO DE CARVALHO 
-7.2538492,-35.9471573,7,AVENIDA FRANCISCO LOPES DE ALMEIDA
-7.2590698,-35.9176269,1,RUA TRES IRMAS
-7.2106678,-35.9300904,2,RUA SÃO MALAQUIAS
-7.2223667,-35.8734667,1,AVENIDA PRINCIPAL
-7.2454219,-35.8968870,3,RUA MANOEL LEONARDO GOMES
-7.2455457,-35.8820781,1,RUA HUMBERTO BATISTA LIMA 
-7.2638100,-35.8960409,1,RUA JOSEFA MORAIS MAIA 
-7.2223667,-35.8734667,1,RUA COSME F. DA NOBREGA
-7.2510877,-35.9112383,1,RUA SENADOR JOÃO CAVALCANTE 
-7.2404808,-35.9126011,1,RUA ANALIA RIBEIRO DIAS 
-7.2434787,-35.9082875,1,RUA JORNALISTA WALTER MENDONÇA
-7.2133336,-35.8893338,2,RUA JOSE LINS DO REGO 
-7.2529366,-35.9234612,1,RUA EVA MARIA MOURA
-7.2449637,-35.9230978,1,RUA XIQUE XIQUE
-7.2557331,-35.9229711,1,RUA SEVERINO FELIPE DE SOUZA
-7.2522403,-35.8887719,1,RUA PEDRO SABINO SILVA 
-7.2678080,-35.9189876,1,RUA ACACIO FIGUEIREDO
-7.2564793,-35.9272117,1,RUA GASTON DE OLIVEIRA
-7.2104718,-35.8769168,2,RUA FRANKLIN ARAÚJO
-7.2273137,-35.9008087,1,RUA DOUTOR INÁCIO MAIER 
-7.2337991,-35.8881011,1,RUA PIAUI
-7.2223667,-35.8734667,1,RUA FRANCISCO ANTONIO DO NASCIMENTO 
-7.2223667,-35.8734667,1,RUA APOLONIO AMORIM 
-7.2223667,-35.8734667,1,RUA IDELFONSO SOUTO MAIOR
-7.2223667,-35.8734667,2,RUA INÁCIO MAIA 
-7.2223667,-35.8734667,1,RUA OLIVINA PEDRO DOS SANTOS
-7.2386942,-35.8669442,1,RUA JOSÉ BERNARDINO 
-7.2223667,-35.8734667,2,RUA ADERALDO VASCONCELOS DINIZ
-7.2593207,-35.9099166,1,RUA DA CONCEIÇÃO
-7.2371684,-35.9179367,2,RUA TRANQUILINO COELHO LEMOS
-7.2493976,-35.9165595,1,RUA SALVADOR
-7.2590698,-35.9176269,5,RUA TRÊS IRMÃS
-7.2025273,-35.8447115,1,RODOVIA PB 095
-7.2331084,-35.9062171,2,RUA BOLIVIA
-7.2339942,-35.9105869,4,AVENIDA DINAMERICA
-7.2423954,-35.9169191,3,RUA MARGARIDA MARIA ALVES
-7.2433129,-35.9233968,1,RUA JAMILE ABRAAO JORGE
-7.2191820,-35.8882230,1,RUA EXPEDICIONÁRIOS DO BRASIL
-7.2474010,-35.8977479,2,RUA FRANCISCO ERNESTO DO REGO
-7.2355900,-35.9312681,1,RUA MARIA DA GUIA MUNIZ ALBUQUERQUE 
-7.2485367,-35.9230350,1,RUA DO UMBUZEIRO
-7.2223667,-35.8734667,1,RUA LADELAL RODRIGUES 
-7.2149224,-35.8838690,1,RUA JOÃO ALVES DE OLIVEIRA
-7.2274704,-35.8966416,1,RUA CASTRO PINTO
-7.2200918,-35.9980285,1,RUA PROFESSOR LUIS GIL
-7.2053344,-35.8890700,1,RUA HENRIQUE DIAS
-7.2265122,-35.8792653,1,RUA PAULO DE FRONTIM
-7.2451072,-35.8998723,1,RUA MANOEL DO O JUNIOR 
-7.2499646,-35.8959525,1,RUA JOAO SIQUEIRA LUNA 
-7.2339942,-35.9105869,1,RUA DINAMERICA ALVES CORREIA 
-7.2408916,-35.8995220,1,RUA JOAO NOBERTO DA SILVA
-7.2216287,-35.9097414,1,RUA MARIA ESTELITA CRUZ
-7.2197150,-35.9187469,1,RUA JOSÉ DO PRECIPÍCIO 
-7.2474010,-35.8977479,1,RUA ERNESTO DO RÊGO 
-7.2293643,-35.9191529,1,RUA ANTÔNIO DE BRITO LIRA
-7.2419246,-35.8784881,1,RUA SEBASTIÃO VIEIRA DA SILVA 
-7.2181600,-35.8845104,1,RUA VENÂNCIO NEIVA
-7.2199459,-35.8982760,4,RUA MONTEVIDEO
-7.2277627,-35.9238109,1,RUA ALBERTINA RAMOS DE AMORIM
-7.2246107,-35.9226457,2,RUA PROFESSORA MARIA DIAS RAMOS
-7.2474131,-35.8471250,2,AVENIDA PREFEITO SEVERINO BEZERRA CABRAL
-7.2235040,-35.9176502,1,RUA PAULO CANTOR SERGIO
-7.2223667,-35.8734667,3,RUA IARA AMARAL
-7.2177546,-35.8916177,1,AVENIDA PRESIDENTE GETÚLIO VARGAS
-7.2223667,-35.8734667,3,RUA ENGENHEIRO SATURNINO DE BRITO FILHO
-7.2016942,-35.8763767,1,AV MANOEL TAVARES
-7.2177546,-35.8916177,2,AVENIDA PRESIDENTE GETULIO VARGAS
-7.2223667,-35.8734667,1,RUA FLORINDA HORÁCIO
-7.2522543,-35.9250178,1,RUA JOSEBIAS VIERA DE FARIAS
-7.2222968,-35.8859775,5,RUA TIRADENTES
-7.2507437,-35.8952592,1,RUA GABRIEL CHABO
-7.2489125,-35.9008403,2,TRAVESSA AUGUSTO BORBOREMA
-7.2513369,-35.8968302,1,RUA WALTER SOARES DE ANDRADE 
-7.2223667,-35.8734667,1,RUA MANOEL CESAR DE FARIAS
-7.2498743,-35.8975585,1,RUA CAMILA ABRAÃO JORGE
-7.2246144,-35.8853698,2,RUA OTACÍLIO DE ALBUQUERQUE 
-7.2223667,-35.8734667,1,RUA JOSÉ HILTON XAVIER
-7.2294948,-35.8907541,1,RUA MINAS GERAIS
-7.2289543,-35.9344460,1,RUA MANOEL MARTINS DE OLIVEIRA
-7.2265122,-35.8792653,1,RUA PAULO DE FRONTIN
-7.2224331,-35.9186564,3,RUA ANTONIO CAVALCANTE 
-7.2223667,-35.8734667,1,RUA CEL ANTONIO PESSOA
-7.2115866,-35.8735199,1,RUA NOSSA SENHORA DE LOURDES 
-7.2266380,-35.8910138,1,RUA DOUTOR CHATEAUBRIAND
-7.2349511,-35.8925713,2,RUA ALAGOAS
-7.2416973,-35.8938156,8,RUA SEVERINO PIMENTEL
-7.2492900,-35.9013847,2,RUA ANA VILAR
-7.2474802,-35.9150488,1,TRAVESSA MANOEL TRANQUILINO
-7.2310800,-35.9000665,1,RUA SANTA MARIA
-7.2533384,-35.8945744,1,RUA JOSÉ FIRMINO
-7.2024090,-35.8767899,4,RUA ARNALDO ALBUQUERQUE 
-7.2223667,-35.8734667,1,RUA WILSON CESAR DE SOUSA
-7.2019594,-35.8836936,1,RUA CAPITAO ADEMAR DE MAIA PAIVA 
-7.2354335,-35.8827645,1,RUA JOÃO QUIRINO 
-7.2444838,-35.8963166,3,RUA SEVERINO GALILEU
-7.2496543,-35.9119310,2,RUA DOUTOR FRANCISCO BRASILEIRO
-7.2138836,-35.8849458,1,RUA VIGOLVINO WANDERLEY
-7.2244462,-35.9001376,1,RUA AUTA LEITE
-7.2446659,-35.8746704,1,RUA PROFESSORA SEVERINA R. SILVA 
-7.2223667,-35.8734667,2,RUA MELQUIADES SILVA VIANA
-7.2315723,-35.8921784,2,RUA RIO GRANDE DO SUL
-7.2085383,-35.8769662,1,RUA FELIX CAROLINO BARBOSA
-7.2409721,-35.9241948,2,RUA DOS AVELOZES
-7.2485367,-35.9230350,1,RUA DOS UMBUZEIROS
-7.2510877,-35.9112383,3,RUA JOÃO CAVALCANTE DE ARRUDA
-7.2223667,-35.8734667,1,RUA JOSÉ PRAEIRO DOS SANTOS
-7.2483569,-35.9284381,1,RUA ALCIDES AVELINO DE MEDEIROS 
-7.2354335,-35.8827645,2,RUA JOÃO QUIRINO
-7.2223667,-35.8734667,1,RUA PASTOR RAUL DE SOUZA COSTA
-7.2344216,-35.9054668,1,RUA YOYO CAVALCANTE 
-7.2199997,-35.9153527,6,RUA CARLOS ALBERTO SOUZA 
-7.2165873,-35.8735746,1,RUA SILVA JARDIM II
